Category,Level1,Level2,Level3,Level4,All,Large,Super,Public,Small,,Type
,,,,,,,,,,,
青年創業家駐點高雄市數位內容創意中心(試辦)計畫委託專業服務勞務採購案,地方政府,高雄市政府,經濟發展局,青年創業家駐點高雄市數位內容創意中心(試辦)計畫委託專業服務勞務採購案,2580000,0,0,2580000,0,,公告金額以上未達查核金額
103年度高雄市地方產業創新研發推動計畫委託專業服務案,地方政府,高雄市政府,經濟發展局,103年度高雄市地方產業創新研發推動計畫委託專業服務案,3620000,0,0,3620000,0,,公告金額以上未達查核金額
103年度高雄市提升產業研發能力爭取中央資源計畫委託專業服務案,地方政府,高雄市政府,經濟發展局,103年度高雄市提升產業研發能力爭取中央資源計畫委託專業服務案,4250000,0,0,4250000,0,,公告金額以上未達查核金額
102年度高雄市地方產業創新研發推動計畫,地方政府,高雄市政府,經濟發展局,102年度高雄市地方產業創新研發推動計畫,4300000,0,0,4300000,0,,公告金額以上未達查核金額
103年度數位內容產業扶植計畫,地方政府,高雄市政府,經濟發展局,103年度數位內容產業扶植計畫,5700000,0,0,5700000,0,,公告金額以上未達查核金額
103年度協助高雄產業與日本企業深化合作委託專業服務案,地方政府,高雄市政府,經濟發展局,103年度協助高雄產業與日本企業深化合作委託專業服務案,7200000,0,0,7200000,0,,公告金額以上未達查核金額
網路設備檢測軟體等1項,中央政府,國防部,國家中山科學研究院,網路設備檢測軟體等1項,3128000,0,0,3128000,0,,公告金額以上未達查核金額
戰管通資電系統整體運用規劃技術服務案,中央政府,國防部,國防採購室,戰管通資電系統整體運用規劃技術服務案,3200000,0,0,3200000,0,,公告金額以上未達查核金額
分散式網頁安全檢測軟體等1項,中央政府,國防部,國家中山科學研究院,分散式網頁安全檢測軟體等1項,4400000,0,0,4400000,0,,公告金額以上未達查核金額
103至104年度公文電子交換網路系統維運案,中央政府,國家發展委員會,檔案管理局,103至104年度公文電子交換網路系統維運案,35500000,35500000,0,0,0,,巨額
專題研究報告23種,學校,國立東華大學,,專題研究報告23種,369000,0,0,0,369000,,未達公告金額
法國「乾隆潮推廣展」設計製作案,中央政府,國立故宮博物院,,法國「乾隆潮推廣展」設計製作案,2200000,0,0,2200000,0,,公告金額以上未達查核金額
MIC情報顧問服務資料庫（17項）,學校,國立交通大學,,MIC情報顧問服務資料庫（17項）,170000,0,0,0,170000,,未達公告金額
產業資料庫(InternetOfThings及CloudApplication&Platform;模組)單一帳號租賃,學校,國立交通大學,,產業資料庫(InternetOfThings及CloudApplication&Platform;模組)單一帳號租賃,182000,0,0,0,182000,,未達公告金額
MIC情報顧問服務資料庫（16項）,學校,國立交通大學,,MIC情報顧問服務資料庫（16項）,585000,0,0,0,585000,,未達公告金額
(1－4)AISP情報顧問服務,學校,國立清華大學,,(1－4)AISP情報顧問服務,350000,0,0,0,350000,,未達公告金額
繪圖處理器效能分析套件組(PERFORMANCEEVALUATIONSUITEFORGPU)*1,學校,國立清華大學,,繪圖處理器效能分析套件組(PERFORMANCEEVALUATIONSUITEFORGPU)*1,885000,0,0,0,885000,,未達公告金額
AISP情報顧問服務一年,學校,國立臺灣科技大學,,AISP情報顧問服務一年,280000,0,0,0,280000,,未達公告金額
2014年「MIC情報顧問服務資料庫」,學校,國立政治大學,,2014年「MIC情報顧問服務資料庫」,650000,0,0,0,650000,,未達公告金額
資策會MIC-AISP情報顧問會員服務一式,學校,國立中山大學,,資策會MIC-AISP情報顧問會員服務一式,654000,0,0,0,654000,,未達公告金額
資策會MICAISP情報顧問服務資料庫一套,學校,國立中央大學,,資策會MICAISP情報顧問服務資料庫一套,187000,0,0,0,187000,,未達公告金額
ARC-182A2模組及其次模組之不定期叫修維護等6項,國營企業,漢翔航空工業股份有限公司,,ARC-182A2模組及其次模組之不定期叫修維護等6項,1300000,0,0,1300000,0,,公告金額以上未達查核金額
委託辦理103年大專校院畢業生流向追蹤提報作業計畫採購案,中央政府,教育部,高等教育司,委託辦理103年大專校院畢業生流向追蹤提報作業計畫採購案,3880000,0,0,3880000,0,,公告金額以上未達查核金額
委託辦理104年度產業碩士專班作業計畫採購案,中央政府,教育部,高等教育司,委託辦理104年度產業碩士專班作業計畫採購案,3930000,0,0,3930000,0,,公告金額以上未達查核金額
103年度電子商務技術標準之國際化計畫,中央政府,經濟部,標準檢驗局,103年度電子商務技術標準之國際化計畫,1600000,0,0,1600000,0,,公告金額以上未達查核金額
資訊產業應用躍進計畫(第2次契約變更),中央政府,經濟部,工業局,資訊產業應用躍進計畫(第2次契約變更),2885000,0,0,2885000,0,,公告金額以上未達查核金額
資訊服務業發展計畫(第1次計畫變更),中央政府,經濟部,工業局,資訊服務業發展計畫(第1次計畫變更),3750000,0,0,3750000,0,,公告金額以上未達查核金額
電子商務個人資料管理制度推動計畫,中央政府,經濟部,商業司,電子商務個人資料管理制度推動計畫,5000000,5000000,0,0,0,,巨額
103年度「中小型企業綠能創新研發推動作法先期研究計畫」,中央政府,經濟部,能源局,103年度「中小型企業綠能創新研發推動作法先期研究計畫」,5080000,0,0,5080000,0,,公告金額以上未達查核金額
103年度中小企業新興科技及產業之法制整備推進計畫,中央政府,經濟部,中小企業處,103年度中小企業新興科技及產業之法制整備推進計畫,5254000,5254000,0,0,0,,巨額
