"機關代碼","機關名稱","郵遞區號","機關地址","機關電話","主管機關代碼","主管機關名稱","傳真","機關生效日期","機關裁撤日期","機關層級","裁撤註記","新機關代碼","新機關名稱","新機關生效日","舊機關代碼","舊機關名稱"
"100000000A","國民大會","100","台北市中華路一段五三號","02-23311312","100000000A","國民大會","02-23117703","0000000","","1","","","","","",""
"101000000A","國民大會憲政研討委員會","","","","100000000A","國民大會","","0000000","0930909","2","是","","","","",""
"102000000A","國民大會秘書處","","","","100000000A","國民大會","","0000000","0930909","2","是","","","","",""
"200000000A","總統府","100","台北市重慶南路一段一二二號","02-23113731","200000000A","總統府","02-23899461","0000000","","1","","","","","",""
"201000000A","中央研究院","115","台北市南港區研究院路二段一二八號","02-27822120-","200000000A","總統府","02-27888459-","0000000","","2","","","","","",""
"202000000A","國史館","10048","臺北市長沙街1段2號","02-23161000-","200000000A","總統府","02-23702966-","0000000","","2","","","","","",""
"202010000A","國史館臺灣文獻館","540","南投市光明里光明一路二五二號","049-2316881-","202000000A","國史館","049-2317783-","0910426","","3","","","","","375000100E","臺灣省文獻委員會"
"204000000A","國家人權紀念館籌備處","100","台北市南海路四十三號","--","200000000A","總統府","--","0910730","0930213","2","是","","","","",""
"300000000A","行政院","100","台北市忠孝東路一段1號","02-33566500-","300000000A","行政院","02-33566919-","0000000","1010101","1","是","A00000000A","行政院","1010101","",""
"301000000A","內政部","100","台北市徐州路5號7樓","02-23565000","A00000000A","行政院","02-23976863","0000000","","2","","","","","",""
"301000100G","內政部國土測繪中心","40873","臺中市黎明路2段497號4樓","04-22522966-","301000000A","內政部","04-22543403-","0961116","","4","","","","","301080000G","內政部土地測量局"
"301000200G","內政部土地重劃工程處","40873","台中市黎明路二段503號4樓","04-22524985","301000000A","內政部","","0970101","","4","","","","","301090000G","內政部土地重劃工程局"
"301010000C","內政部警政署","100","台北市忠孝東路一段七號","23219011","301000000A","內政部","23921947","0000000","1030101","3","是","A01010000C","內政部警政署","1030101","",""
"301010100C","內政部警政署入出境管理局","100","台北市廣州街十五號","02-23889393-","301010000C","內政部警政署","-23816804-","0000000","0960102","4","是","301140000A","內政部入出國及移民署","0960102","",""
"301010101C","入出境管理局國際機場旅客入出境資料中心","100","台北市廣州街十五號","-23889393-","301010100C","內政部警政署入出境管理局","--","0000000","0960102","5","是","301140000A","內政部入出國及移民署","0960102","",""
"301010200C","內政部警政署刑事警察局","110","台北市忠孝東路四段五五三巷五號","02-27678020-","301010000C","內政部警政署","02-27644634-","0000000","1030101","4","是","A01010100C","內政部警政署刑事警察局","1030101","",""
"301010300C","內政部警政署航空警察局","33758","桃園縣大園鄉埔心村航勤北路27號","03-3983281","301010000C","內政部警政署","03-3931520","0000000","1030101","4","是","A01010200C","內政部警政署航空警察局","1030101","",""
"301010400C","內政部警政署公路警察局","","","--","301010000C","內政部警政署","--","0000000","0000000","4","是","","","","",""
"301010500C","內政部警政署空中警察隊","105","台北市敦化北路三四０之十五號","02-27155584","301010000C","內政部警政署","25452647","0000000","0930907","4","是","301120000A","內政部空中勤務總隊籌備處","0930205","",""
"301010600C","內政部警政署墾丁國家公園警察隊","","","--","301010000C","內政部警政署","--","0000000","0000000","4","是","","","","",""
"301010700C","內政部警政署玉山國家公園警察隊","","","--","301010000C","內政部警政署","--","0000000","0000000","4","是","","","","",""
"301010900T","臺灣警察學校","","","--","301010000C","內政部警政署","--","0000000","0000000","4","是","","","","",""
"301011000C","內政部警政署太魯閣國家公園警察隊","","","--","301010000C","內政部警政署","--","0000000","0000000","4","是","","","","",""
"301011100T","臺灣警察專科學校","116","台北市文山區興隆路3段153號","02-22308512-2119","301010000C","內政部警政署","02-22300729-","0000000","1030101","4","是","A01013100T","臺灣警察專科學校","1030101","",""
"301011200C","內政部警政署保安警察第一總隊","112","台北市北投區立農街二段301號","02-28229543-","301010000C","內政部警政署","02-28225325-","0000000","1030101","4","是","A01011100C","內政部警政署保安警察第一總隊","1030101","",""
"3010113009","內政部警政署保二總隊(事業單位預算)","","","","301010000C","內政部警政署","","0000000","0000000","4","是","","","","",""
